#	username	year	quote	answer	flavour text
1	Dotozhi	2024	"I'll $$ITEM$$ after [insert thing]"	sleep	"swears to $$ITEM$$ after [insert thing]", then doesnt $$ITEM$$ after [said thing]
2	Meadow	2024	"I'm not a stalker! This $$ITEM$$..."	birb	
3	Min	2024	"you being the $$ITEM$$ makes sense since you disappear on people /j"	dad	
4	Dotozhi	2024	"$$ITEM$$ makes me come"	anime	
5	Dotozhi	2024	â€ścouch sneaker $$ITEM$$ my face!â€ť	lick	
6	Dotozhi	2024	"$$ITEM$$ pisser!"	yummy	
7	Dotozhi	2024	"Why'd you have to miss my anal bead $$ITEM$$?"	debut	
8	Dotozhi	2024	"I do want $$ITEM$$"	TITS	
9	Dotozhi	2024	"Imma bite a $$ITEM$$"	twink	
10	Dotozhi	2024	"You're going to $$ITEM$$ on me"	step	
11	Dotozhi	2024	"That's right, $$ITEM$$ on me"	step	
12	Dotozhi	2024	"Remember to spam anal $$ITEM$$ on my 2.0 debut!" [...] "Please add JK to that"	beads	
13	Max	2024	"it was a $$ITEM$$ run"	goon	(*good typo)
14	Dotozhi	2024	"$$ITEM$$ out? My $$ITEM$$ are not out, gimme a second. NONONO-"	TITS	
15	Dotozhi	2024	"$$ITEM$$ $$ITEM$$"	WOOF	at meadow
16	Dotozhi	2024	"yummy $$ITEM$$er when i need to $$ITEM$$"	piss	
17	Floofi	2024	"blowing the $$ITEM$$ back out yeehaw"	mics	
18	Dotozhi	2024	"Who wouldn't want U-san to $$ITEM$$ on them with high heels"	step	denying not wanting to be $$ITEM$$ed on
19	Dotozhi	2024	"You guys should $$ITEM$$ on me"	step	
20	Dotozhi	2024	"skibidi $$ITEM$$ toy. I want, i need"	toilet	
21	Dotozhi	2024	"a lot of $$ITEM$$ usage here, i had to do the chin tuck and swallow"	tongue	
22	flamaramelimelon	2024	"beat the $$ITEM$$ MaxLOL "	meat	
23	Dotozhi	2024	"i shouldnt $$ITEM$$ like that"	suck	
24	Dotozhi	2024	"YEAH $$ITEM$$ ME"	LICK	
25	Dotozhi	2024	"she does $$ITEM$$ experiments"	human	@ Meadow
26	Dotozhi	2024	"I wish I had something up my $$ITEM$$"	ass	(totally not talking about not pooping yet /sarc)
27	Gemini	2024	"The $$ITEM$$ Latrine has changed me..."	Dream	
28	Dotozhi	2024	NOW RIDE MY ASS $$ITEM$$" [...] "RIDE IT!" [...] "RIDE MY ASS $$ITEM$$" [...] "NOW ASS $$ITEM$$ GO"	BUBBLE	
29	Meadow	2024	"i dONT WANT YOUR ASS $$ITEM$$"	BUBBLE	
30	Dotozhi	2024	"My ass $$ITEM$$ enticed you"	bubble	
31	Dotozhi	2024	"just ask me to $$ITEM$$, it's fine"	thrust	
32	Floofi	2024	"ass $$ITEM$$ go"	power	
33.1	Dotozhi	2024	"I $$ITEM$$ everything, I $$ITEM$$ you"	see	
33.2	Meadow	2024	[...] "She $$ITEM$$ what I do after stream guys"	knows	
34	Great Ninja	2024	"$$ITEM$$ are the TITS ?"	Where	
35	Dotozhi	2024	"I $$ITEM$$ APE SEX- I MEAN APEX"	LIKE	
36	Dotozhi	2024	"i kinda wanna $$ITEM$$ on something"	suck	
37	Dotozhi	2024	"look how $$ITEM$$ i am tho"	cute	not a narcissist
38	Dotozhi	2024	"I'm stepping into the $$ITEM$$"	water	stepping into fire in-game
39	Ahkacks	2024	*Doto $$ITEM$$ Rainy Day Ice Skating K-Rock* | "K-KOCK???"	sends	
40	Dotozhi	2024	"time to $$ITEM$$ on it"	choke	
41	Dotozhi	2024	"what's my $$ITEM$$? dotozhi? NO!"	name	
42	Dotozhi	2024	"lemme run $$ITEM$$"	tits	
43	Dotozhi	2024	"since he can't swallow, we have to $$ITEM$$ it down his throat"	force	
44	Dotozhi	2024	"I just like to $$ITEM$$ I guess"	choke	
45	Dotozhi	2024	"andryy $$ITEM$$"	birssa	trying to type angry birds
46	Dotozhi	2024	"$$ITEM$$ TITTIESSS"	SOFT	
47	Dotozhi	2024	"if a wood chuck could $$ITEM$$ wood"	fuck	
48	Dotozhi	2024	"im not $$ITEM$$ the tentacles man"	into	
49	Blade	2024	"mr stitch I $$ITEM$$ your ass but youâ€™re still bastard"	love	
50	Dotozhi	2024	"Call me $$ITEM$$-san"	Dotou	
51	Dotozhi	2024	"$$ITEM$$ SATOROU [...] $$ITEM$$ GOJO"	FATHER	
52	Dotozhi	2024	"God damn the physics, they're like $$ITEM$$ balloons"	water	
53	Dotozhi	2024	"Y'all $$ITEM$$ the bouncin"	missed	
54	Dotozhi	2024	"She keeled over cuz her water balloons are too $$ITEM$$; I'd understand"	heavy	Washboard
55	Dotozhi	2024	"here to $$ITEM$$ me abandon doozhis for milk"	watch	
57	Dotozhi	2024	"its $$ITEM$$ a rattity"	called	
58	Dotozhi	2024	"I also need to do the amogus ass $$ITEM$$"	shake	
59	Dotozhi	2024	"Can't trust $$ITEM$$ people"	bald	
60	Dotozhi	2024	"if you go to the toilet, you have to $$ITEM$$ me"	bring	
61	Dotozhi	2024	"WHY ARE YOU EXPOSING MY $$ITEM$$ ARE EXPIRED"	BALLS	
62	Dotozhi	2024	"what if i kill her? [...] there has to be a $$ITEM$$ somewhere"	weapon	referring to a mentally ill girlfriend in-game
63	Dotozhi	2024	"who has a milf $$ITEM$$ permit, can i borrow?"	hunter	
64	Dotozhi	2024	"i thought i was a $$ITEM$$ girl"	real	
65	Dotozhi	2024	"why aren't you a $$ITEM$$ boy"	real	
66	Dotozhi	2024	"also, $$ITEM$$?"	pp	
67	Dotozhi	2024	"i $$ITEM$$ him"	stripped	
68	Floofi	2024	"$$ITEM$$ stripping him"	always	
69	Dotozhi	2024	"he's always getting his $$ITEM$$ pulled off"	pants	@ a poor victim
70	Dotozhi	2024	"I DIDNT DRAW A FLIPPING $$ITEM$$ YET SO HEAR YOU GO"	PENIS	on stream
71	Dotozhi	2024	"I RIPPED MY $$ITEM$$ OFF OH GOD"	BROWS	
72	Dotozhi	2024	"mod khaki pants doesn't need $$ITEM$$"	pants	sidenote, mod khaki $$ITEM$$ disagrees with this assessment
73	Dotozhi	2024	"i'm going to remember $$ITEM$$"	this	after we made her shut up for 20 minutes
74	Dotozhi	2024	"im not a mold $$ITEM$$"	eater	i wonder how it got to this point
75	Dotozhi	2024	"ill only $$ITEM$$ you guys with expired food and mold"	leave	
76	Dotozhi	2024	"why am i mind fucking $$ITEM$$"	myself	
77	Dotozhi	2024	"cow that $$ITEM$$'d seductively LOl"	moo	
78	Dotozhi	2024	"i'll $$ITEM$$ wet chicken"	have	
79	Dotozhi	2024	"i dont have $$ITEM$$ on"	tits	Washboard
80	Dotozhi	2024	"we can $$ITEM$$ cheese"	cancel	one of the few cheese dislikers
81	Dotozhi	2024	i used to pick the cheese off the $$ITEM$$"	pizza	paying for cheesy tomato bread but only eating the tomato bread
82	Dotozhi	2024	"are we burning your $$ITEM$$? cuz id be down"	pants	
83	Dotozhi	2024	"ooOH $$ITEM$$, oh my, fuck, $$ITEM$$!"	hair	
84	Dotozhi	2024	"$$ITEM$$ are just extra weight [...] just yeet them off [...] you don't need $$ITEM$$"	pnats	
85	Dotozhi	2024	"GET $$ITEM$$"	SUCKED	
86	Dotozhi	2024	"i took your $$ITEM$$ card, yeah, your $$ITEM$$ virginity"	vtuber	
87	Dotozhi	2024	"I hope the hot $$ITEM$$ doesn't assault you butthole too much"	sauce	
88	Dotozhi	2024	"it tastes like a $$ITEM$$"	moose	
89	Dotozhi	2024	"he eats my $$ITEM$$"	cookie	